id,level,noType,tools,blockid,stoneid,stone_type_per,stone_per,goal,map,TypeA,roundA,roundB,roundC,roundD,roundK_C,roundK_D,refresh_rounds
261,61,[36],"[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,320]","[0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,7,11,19,2,2,10000
262,62,[36],"[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,240]","[0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,3,0,0,0,0,3,0,0,0,3,3,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,0,3,3,3,0,0,0,0,0,0,0,3,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,5,9,19,2,2,10000
263,63,[36],"[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,150]","[0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,6,10,19,2,2,10000
264,64,[36],"[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,310]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,3,0,3,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,7,11,19,2,2,10000
265,65,[36],"[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,350]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,3,0,3,3,0,0,3,3,0,0,3,3,0,0,3,3,0,3,0,0,3,3,0,0,3,0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,5,9,19,2,2,10000
266,66,[36],"[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,300]","[3,3,0,0,0,0,3,3,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,3,3,0,0,0,0,3,3]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,6,10,19,2,2,10000
267,67,[36],"[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,0,0]","[5,1,5,7]","[1001,28]","[0,0,0,0,0,0,0,0,0,0,0,0,1001,1001,1001,1001,1001,1001,1001,1001,0,0,0,0,0,0,0,0,0,0,0,0,1001,1001,1001,1001,0,0,0,0,0,0,0,0,1001,1001,1001,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,5,9,19,2,2,10000
268,68,[36],"[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,0,0]","[5,1,5,7]","[1001,20]","[0,0,0,0,0,0,0,0,0,0,0,0,1001,0,1001,0,0,1001,0,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,0,1001,0,0,1001,0,1001,0,0,0,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,6,10,19,2,2,10000
269,69,[36],"[1,6,3,4]","[1,2,3,4,5,6]","[1002,1001,1003]","[3,0,0]","[5,1,5,7]","[1002,11]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002,0,0,0,0,0,0,0,0,1002,0,0,0,0,0,0,0,0,1002,0,0,0,0,0,0,0,0,1002,0,0,0,0,0,0,0,0,1002,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,6,10,19,2,2,10000
270,70,[36],"[1,6,3,4]","[1,2,3,4,5,6]","[1003,1002,1001]","[4,0,0]","[5,1,5,7]","[1003,30]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1003,1003,0,0,0,1003,1003,0,0,0,0,1003,1003,0,1003,0,0,0,0,1003,0,1003,1003,0,1003,1003,0,1003,1003,0,0,1003,0,0,1003,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,6,10,19,2,2,10000
271,71,[36],"[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,0,0]","[5,1,5,7]","[1001,22]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,1001,1001,0,1001,1001,1001,1001,0,0,0,1001,1001,0,0,0,0,0,0,1001,1001,0,0,0,0,0,0,1001,1001,0,0,0,0,0,0,1001,1001,0,0,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,6,10,19,2,2,10000
272,72,[36],"[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,0,0]","[5,1,5,7]","[1001,20]","[0,0,0,0,0,0,0,0,0,0,1001,1001,1001,1001,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,1001,1001,3,3,1001,1001,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,1001,1001,1001,0,0,0,1001,1001]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,4,8,19,2,2,10000
273,73,[36],"[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,320]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,3,0,3,0,0,0,0,3,0,3,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,7,11,19,2,2,10000
274,74,[36],"[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,270]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,6,10,19,2,2,10000
275,75,[36],"[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,180]","[0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,3,0,3,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,6,10,19,2,2,10000
276,76,[36],"[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,360]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,3,3,3,3,3,3,3,0,3,3,3,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,5,9,19,2,2,10000
277,77,[36],"[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,230]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,3,3,3,3,3,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,5,9,19,2,2,10000
278,78,[36],"[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,330]","[0,0,0,0,0,0,0,0,0,3,3,0,0,3,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,3,0,0,3,3,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,5,9,19,2,2,10000
279,79,[36],"[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,3,4]","[5,1,5,7]","[1001,6,1002,6,1003,6]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002,1002,0,0,1002,1002,0,0,0,0,0,0,0,0,0,0,0,0,1002,1002,0,0,0,0,1001,1001,0,0,1001,1001,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,6,10,19,2,2,10000
280,80,[36],"[1,6,3,4]","[1,2,3,4,5,6]","[1002,1001,1003]","[3,0,0]","[5,1,5,7]","[1002,22]","[0,0,0,0,0,0,0,0,0,1002,1002,0,0,1002,1002,0,0,0,0,0,0,0,0,0,0,0,0,1002,1002,0,0,0,0,1002,1002,0,0,1002,1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,5,9,19,2,2,10000
281,81,[],"[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,0,0]","[5,1,5,7]","[1001,20]","[0,0,0,0,0,0,0,0,1001,1001,1001,0,0,1001,1001,1001,0,0,0,0,0,0,0,0,0,0,0,1001,1001,0,0,0,1001,1001,1001,0,0,1001,1001,1001,0,0,1001,0,0,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,6,10,19,2,2,10000
282,82,[],"[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,3,0]","[5,1,5,7]","[1001,13,1002,13]","[0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1001,0,0,1,0,1001,0,1002,1001,1002,0,0,1002,1001,1002,0,1001,0,0,1002,0,1001,0,0,0,0,0,1002,0,0,0,0,0,0,0,1002,0,0,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,6,10,19,2,2,10000
283,83,[],"[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,0,0]","[5,1,5,7]","[1001,16]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,0,0,0,0,1001,0,1001,0,0,0,0,0,0,1001,0,0,0,0,0,0,0,0,0,1001,0,0,0,0,1001,0,1001,0,0,0,0,0,0,1001,0,1001,0,0,0,0,1001,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,5,9,19,2,2,10000
284,84,[],"[1,6,3,4]","[1,2,3,4,5,6]","[1003,1002,1001]","[4,0,0]","[5,1,5,7]","[1003,27]","[0,1003,0,1003,0,1003,0,1003,1003,0,1003,0,1003,0,1003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1003,0,1003,0,1003,0,1003]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,7,11,19,2,2,10000
285,85,[],"[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,330]","[3,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,7,11,19,2,2,10000
286,86,[],"[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,370]","[3,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,7,11,19,2,2,10000
287,87,[],"[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,250]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,6,10,19,2,2,10000
288,88,[],"[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,360]","[0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,5,9,19,2,2,10000
289,89,[],"[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,320]","[0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,7,11,19,2,2,10000
290,90,[],"[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,380]","[0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,3,3,3,0,0,3]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,6,10,19,2,2,10000
291,91,[],"[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,3,0]","[5,1,5,7]","[1001,9,1002,9]","[0,0,0,0,0,0,0,0,1002,0,0,0,0,0,0,1002,0,0,0,3,3,0,0,0,0,0,0,1001,1001,0,0,0,0,1001,3,3,3,3,1001,0,0,0,0,0,0,0,0,0,1002,0,0,0,0,0,0,1002,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,5,9,19,2,2,10000
292,92,[],"[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,3,0]","[5,1,5,7]","[1001,10,1002,10]","[0,0,0,0,0,0,0,0,3,0,0,0,0,0,1002,0,0,3,1001,0,0,0,1002,0,0,1001,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1001,0,0,1002,0,0,0,1001,3,0,0,1002,0,0,0,0,0,3]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,5,9,19,2,2,10000
293,93,[],"[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,0,0]","[5,1,5,7]","[1001,16]","[0,0,0,0,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,0,0,0,0,1001,0,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,0,0,0,0,1001,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,5,9,19,2,2,10000
294,94,[],"[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,3,4]","[5,1,5,7]","[1001,6,1002,6,1003,6]","[0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,1001,1001,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,1002,1002,1002,0,0,1003,1003,1003,0,0,0,3,3,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,7,11,19,2,2,10000
295,95,[],"[1,6,3,4]","[1,2,3,4,5,6]","[1001,1003,1002]","[2,4,0]","[5,1,5,7]","[1001,6,1003,6]","[0,0,0,3,3,0,0,0,1003,0,0,3,3,0,0,1003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,1001,1001,1001,1001,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,5,9,19,2,2,10000
296,96,[],"[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,3,4]","[5,1,5,7]","[1001,10,1002,10,1003,10]","[0,1001,0,1001,0,1002,0,1003,1003,0,1003,0,1003,0,1003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1003,0,1003,0,3,1003,3,1002]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,5,9,19,2,2,10000
297,97,[],"[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,0,0]","[5,1,5,7]","[1001,25]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,1001,1001,1001,0,0,0,0,0,0,0,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,0,0,0,0,0,0,0,1001,1001,1001,1001,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,5,9,19,2,2,10000
298,98,[],"[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,500]","[0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,7,17,30,2,2,10000
