id,level,floor,cells1,cells2,cells3,cells4,cells5,
641,56,3,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1002,-1,-1,1059,-1,-1,-1,-1]","[-1,-1,-1,-1,1059,-1,-1,1015,-1,-1,-1,-1]","[-1,-1,-1,-1,1013,-1,-1,1007,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
642,56,4,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1009,-1,1017,-1,1018,-1,-1,-1,-1]","[-1,-1,-1,1029,-1,-1,-1,1002,-1,-1,-1,-1]","[-1,-1,-1,1001,-1,1020,-1,1011,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
643,56,5,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1032,1032,1042,1018,1010,1020,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1010,1017,1012,1008,1042,1017,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
644,56,6,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,1059,1010,1019,1032,1012,1015,1001,-1,-1,-1]","[-1,-1,-1,1036,-1,-1,-1,1001,-1,-1,-1,-1]","[-1,-1,1015,1032,1010,1006,1011,1030,1012,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
645,56,7,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1001,-1,1012,1017,-1,1017,-1,-1,-1]","[-1,-1,-1,1006,1002,1008,1015,1001,1008,-1,-1,-1]","[-1,-1,-1,1020,-1,1032,1012,-1,1015,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
646,56,8,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1017,1019,-1,1032,1012,-1,-1,-1,-1]","[-1,-1,-1,-1,1013,-1,1030,-1,-1,-1,-1,-1]","[-1,-1,-1,1042,1036,-1,1030,1017,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
647,56,9,"[-1,-1,1015,1059,1008,1020,1010,1012,1002,1007,-1,-1]","[-1,-1,-1,-1,1010,-1,-1,1006,-1,-1,-1,-1]","[-1,-1,1015,1019,1001,1032,1013,1019,1013,1015,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
648,56,10,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,1020,-1,1017,-1,1015,-1,1011,-1,1036,-1,-1]","[-1,1030,-1,1006,-1,1015,-1,1002,-1,1001,-1,-1]","[-1,1029,-1,1027,-1,1001,-1,1030,-1,1006,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
649,56,11,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1042,1032,1059,1042,1007,1011,-1,-1,-1]","[-1,-1,-1,1013,-1,-1,-1,-1,1012,-1,-1,-1]","[-1,-1,-1,1029,1006,1036,1013,1030,1032,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
650,56,12,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1008,1006,1017,1032,1059,-1,-1,-1,-1]","[-1,-1,-1,1032,-1,1003,-1,1059,-1,-1,-1,-1]","[-1,-1,-1,1042,1009,1011,1009,1013,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
651,56,13,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1012,1019,1027,1059,1006,1020,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1029,1010,1001,1001,1017,1059,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
652,56,14,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,1007,1010,1013,1059,1036,1015,1001,-1,-1,-1]","[-1,-1,1009,-1,1036,-1,1036,-1,1029,-1,-1,-1]","[-1,-1,1007,1027,1030,1029,1059,1001,1027,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
653,56,15,"[-1,-1,1012,-1,1019,1013,1020,1019,-1,1017,-1,-1]","[-1,-1,1001,-1,1017,1003,-1,1006,-1,1032,-1,-1]","[-1,-1,1001,-1,1032,-1,-1,1006,-1,1029,-1,-1]","[-1,-1,1032,-1,1002,1013,1012,1012,-1,1006,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
654,56,16,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,1042,1030,1032,1029,1006,1009,1006,-1,-1,-1]","[-1,-1,-1,-1,1001,1029,1030,-1,-1,-1,-1,-1]","[-1,-1,1017,1059,1030,1059,1018,1006,1029,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
655,56,17,"[-1,1019,-1,-1,1012,1008,1008,1007,-1,-1,1027,-1]","[-1,1009,1006,1019,-1,1030,1012,-1,1012,1012,1007,-1]","[-1,1020,1012,1032,-1,1036,1019,-1,1001,1001,1017,-1]","[-1,1001,-1,-1,1007,1001,1029,1013,-1,-1,1030,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
656,56,18,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[1015,1001,1042,1018,1042,1036,1015,1002,1029,1010,1017,-1]","[1006,-1,-1,1020,-1,1003,-1,1006,-1,-1,1017,-1]","[1001,1009,1059,1010,1032,1009,1009,1036,1013,1012,1030,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
657,56,19,"[-1,1036,1030,1059,1019,1019,1036,1017,1001,1030,1009,-1]","[-1,1032,-1,-1,1019,1013,1017,1017,1006,-1,1030,-1]","[-1,1008,1019,1009,1001,1002,1020,1008,1042,1032,1059,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
658,56,20,"[-1,1007,1010,1001,1012,1059,1029,1007,1018,1036,-1,-1]","[1013,1002,1029,1059,1059,1012,1010,1027,1015,1001,1006,-1]","[1011,1001,1032,1013,1017,-1,1007,1001,1006,1017,1030,-1]","[1059,1036,1032,1018,1019,1019,1019,1029,1006,1059,1015,-1]","[-1,1059,1036,1059,1042,1020,1007,1020,1009,1019,-1,-1]",
659,57,1,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1013,1017,1040,1018,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
660,57,2,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1010,-1,1040,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1013,-1,1017,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1030,-1,1009,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
661,57,3,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1030,-1,-1,1027,-1,-1,-1,-1]","[-1,-1,-1,-1,1027,-1,-1,1030,-1,-1,-1,-1]","[-1,-1,-1,-1,1030,-1,-1,1040,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
662,57,4,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1002,1032,1017,1013,1036,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1009,1040,1011,1036,1036,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
663,57,5,"[-1,-1,-1,1013,1042,-1,-1,1042,1011,-1,-1,-1]","[-1,-1,-1,-1,1010,-1,-1,1010,-1,-1,-1,-1]","[-1,-1,-1,-1,1032,-1,-1,1018,-1,-1,-1,-1]","[-1,-1,-1,1011,1027,1020,1017,1018,1002,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
664,57,6,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,1059,1030,1027,-1,1018,1017,1036,-1,-1,-1]","[-1,-1,1040,-1,1018,-1,1030,-1,1042,-1,-1,-1]","[-1,-1,1002,1019,1013,-1,1018,1042,1029,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
665,57,7,"[-1,-1,-1,-1,1007,-1,-1,1012,-1,-1,-1,-1]","[-1,-1,1006,1009,1059,-1,-1,1009,1017,1009,-1,-1]","[-1,-1,1009,1019,1012,-1,-1,1013,1040,1041,-1,-1]","[-1,-1,-1,-1,1030,-1,-1,1029,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
666,57,8,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1040,-1,1030,-1,1027,-1,-1,-1,-1]","[-1,-1,1008,1059,1032,-1,1059,1027,1039,-1,-1,-1]","[-1,-1,-1,1059,-1,1040,-1,1040,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
667,57,9,"[-1,1042,1013,1038,1009,1036,1009,1017,1039,1029,1019,-1]","[-1,1006,-1,1012,-1,1041,1027,-1,1027,-1,1007,-1]","[-1,1030,1020,-1,1012,-1,-1,1038,-1,1042,1030,-1]","[-1,1020,1042,1029,1011,1042,1036,1008,1040,1032,1029,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
668,57,10,"[-1,-1,1011,1015,1036,1008,1059,1040,1032,-1,-1,-1]","[-1,1012,1038,1040,1036,1029,1013,1013,1032,1011,-1,-1]","[-1,1017,1030,-1,-1,1007,-1,-1,1017,1009,-1,-1]","[-1,1018,1020,1020,1012,1041,1018,1018,1020,1027,-1,-1]","[-1,-1,1039,1015,1015,1006,1036,1042,1030,-1,-1,-1]",
669,57,11,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1041,1017,-1,-1,1042,1008,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
670,57,12,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1027,1002,-1,1027,1012,-1,-1,-1,-1]","[-1,-1,-1,1039,1042,-1,1032,1008,-1,-1,-1,-1]","[-1,-1,-1,1027,1029,-1,1015,1007,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
671,57,13,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1008,-1,-1,1015,-1,-1,-1,-1]","[-1,-1,-1,-1,1039,-1,-1,1029,-1,-1,-1,-1]","[-1,-1,-1,-1,1032,-1,-1,1008,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
672,57,14,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1006,1039,1018,1001,1006,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1036,1008,1001,1006,1009,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
673,57,15,"[-1,-1,-1,1036,1002,-1,-1,1008,1029,-1,-1,-1]","[-1,-1,-1,-1,1015,1040,1018,1002,-1,-1,-1,-1]","[-1,-1,-1,-1,1027,-1,-1,1006,-1,-1,-1,-1]","[-1,-1,-1,1029,1036,1012,1009,1001,1018,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
674,57,16,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,1001,1011,1027,-1,1032,1036,1006,-1,-1,-1]","[-1,-1,1027,-1,1032,-1,1007,-1,1039,-1,-1,-1]","[-1,-1,1015,1011,1008,1029,1040,1032,1027,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
675,57,17,"[-1,-1,-1,-1,1040,1002,1032,1009,-1,-1,-1,-1]","[-1,-1,1008,1007,1008,-1,-1,1027,1029,1015,-1,-1]","[-1,-1,1027,1007,1012,-1,-1,1011,1007,1018,-1,-1]","[-1,-1,-1,-1,1015,1032,1036,1040,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
676,57,18,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1027,-1,1041,-1,1040,-1,-1,-1,-1]","[-1,-1,1006,1002,1039,1012,1040,1018,1008,-1,-1,-1]","[-1,-1,-1,1036,-1,1002,-1,1041,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
677,57,19,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,1029,-1,1008,-1,1040,1032,-1,1041,-1,1041,-1]","[-1,1027,-1,1015,-1,1029,1008,-1,1002,-1,1006,-1]","[-1,1029,1015,1009,1027,1009,1032,1001,1039,1011,1012,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
678,57,20,"[-1,1008,-1,1008,1032,1012,1008,1039,1040,-1,1015,-1]","[-1,1011,1002,1042,-1,1015,1032,-1,1001,1018,1008,-1]","[-1,1032,1039,1041,1008,-1,-1,1015,1039,1010,1002,-1]","[-1,1007,1017,1015,1008,-1,-1,1042,1009,1032,1032,-1]","[-1,1010,1010,1011,1017,1006,1040,1006,1032,1042,1042,-1]",
679,57,21,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1013,1018,-1,-1,1002,1036,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
680,57,22,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1013,1001,-1,1019,1015,-1,-1,-1,-1]","[-1,-1,-1,1006,1020,-1,1030,1010,-1,-1,-1,-1]","[-1,-1,-1,1036,1015,-1,1015,1018,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
681,57,23,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1008,-1,-1,1012,-1,-1,-1,-1]","[-1,-1,-1,-1,1007,-1,-1,1036,-1,-1,-1,-1]","[-1,-1,-1,-1,1015,-1,-1,1009,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
682,57,24,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1010,1013,1001,1029,1009,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1001,1042,1006,1018,1013,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
683,57,25,"[-1,-1,-1,1006,1010,1009,1017,1006,1013,-1,-1,-1]","[-1,-1,-1,-1,1036,-1,-1,1020,-1,-1,-1,-1]","[-1,-1,-1,-1,1010,-1,-1,1010,-1,-1,-1,-1]","[-1,-1,-1,1036,1006,1010,1006,1020,1013,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
684,57,26,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,1008,-1,1027,-1,1001,-1,1036,-1,-1,-1]","[-1,-1,1032,-1,1013,-1,1018,-1,1008,-1,-1,-1]","[-1,-1,1029,-1,1029,1010,1042,-1,1012,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
685,57,27,"[-1,-1,1019,-1,1020,1010,1032,1019,-1,1036,-1,-1]","[-1,-1,1019,1006,1008,-1,-1,1017,1008,1015,-1,-1]","[-1,-1,1015,1008,1019,-1,-1,1042,1059,1019,-1,-1]","[-1,-1,1029,-1,1008,1008,1032,1018,-1,1059,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
686,57,28,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,1009,-1,1010,-1,1010,-1,1009,-1,1018,-1,-1]","[-1,1001,1010,1008,1019,-1,1059,1042,1012,1007,-1,-1]","[-1,1036,-1,1010,-1,1017,-1,1020,-1,1032,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
687,57,29,"[-1,1010,1030,1010,1027,1059,1009,1012,1015,1019,1029,-1]","[-1,1006,-1,1008,-1,1019,1006,-1,1001,-1,1001,-1]","[-1,1006,-1,1027,-1,1008,1002,-1,1008,-1,1010,-1]","[-1,1001,1059,1010,1019,1030,1008,1017,1017,1030,1015,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
688,57,30,"[-1,1006,1010,1059,1036,1030,1010,1059,1002,1008,1013,-1]","[-1,1001,-1,1036,1059,1032,1032,1059,1007,-1,1009,-1]","[-1,1013,-1,1001,1006,-1,-1,1019,1032,-1,1008,-1]","[-1,1032,-1,1009,1036,1042,1042,1017,1032,-1,1020,-1]","[-1,1001,1012,1030,1015,1029,1036,1009,1019,1012,1001,-1]",
689,58,1,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1036,1001,-1,-1,1008,1015,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
690,58,2,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1027,1017,-1,1006,1042,-1,-1,-1,-1]","[-1,-1,-1,1011,1010,-1,1015,1013,-1,-1,-1,-1]","[-1,-1,-1,1020,1020,-1,1002,1006,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
691,58,3,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1001,-1,-1,1013,1006,-1,-1,-1]","[-1,-1,-1,1012,1018,-1,-1,1017,1030,-1,-1,-1]","[-1,-1,-1,1020,1020,-1,-1,1007,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
692,58,4,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1027,1042,1042,1042,1001,-1,-1,-1,-1]","[-1,-1,-1,-1,1032,1013,1032,-1,-1,-1,-1,-1]","[-1,-1,-1,1032,1001,1027,1008,1002,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
693,58,5,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1019,1027,1011,1030,1001,1018,-1,-1,-1]","[-1,-1,-1,-1,1027,-1,-1,1019,-1,-1,-1,-1]","[-1,-1,-1,1011,1001,1008,1006,1011,1010,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
694,58,6,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,1042,-1,1019,-1,1042,-1,1001,-1,-1,-1]","[-1,-1,1001,-1,1012,-1,1008,-1,1007,-1,-1,-1]","[-1,-1,1020,-1,1011,1008,1032,-1,1010,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
695,58,7,"[-1,-1,-1,-1,1036,1059,1027,1027,-1,-1,-1,-1]","[-1,-1,1042,1012,1036,-1,-1,1032,1018,1011,-1,-1]","[-1,-1,1018,1027,1015,-1,-1,1010,1036,1059,-1,-1]","[-1,-1,1018,-1,1059,1030,1012,1059,-1,1042,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
696,58,8,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1002,-1,1042,-1,1030,-1,-1,-1,-1]","[-1,1015,1010,1006,1020,1036,1007,1032,1059,1007,-1,-1]","[-1,1013,-1,1042,-1,1042,-1,1013,-1,1011,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
697,58,9,"[-1,-1,-1,-1,-1,1010,1001,-1,-1,-1,-1,-1]","[-1,-1,-1,1042,-1,1012,1008,-1,1001,-1,-1,-1]","[-1,1015,-1,1002,-1,1032,1027,-1,1059,-1,1007,-1]","[-1,1032,1030,1008,1020,1006,1017,1017,1030,1027,1012,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
698,58,10,"[-1,1010,1007,1017,1027,1010,1042,1036,1011,1036,1027,-1]","[1006,1011,1042,1013,1010,-1,-1,1006,1027,1027,1027,1042]","[1010,1036,1011,1027,1011,-1,-1,1027,1042,1001,1015,1030]","[1008,1020,1006,1018,1036,-1,-1,1030,1002,1020,1032,1002]","[-1,1042,1008,1010,1030,1010,1027,1042,1017,1011,1001,-1]",
699,58,11,"[-1,-1,-1,-1,1002,-1,-1,1001,-1,-1,-1,-1]","[-1,-1,-1,-1,1015,1015,1013,1036,-1,-1,-1,-1]","[-1,-1,-1,-1,1019,-1,-1,1020,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
700,58,12,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1019,-1,1013,-1,-1,-1,-1,-1]","[-1,-1,-1,1006,1020,-1,1030,1036,-1,-1,-1,-1]","[-1,-1,-1,-1,1017,-1,1042,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
701,58,13,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1032,1001,-1,-1,1030,1017,-1,-1,-1]","[-1,-1,-1,1020,1007,-1,-1,1059,1013,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
702,58,14,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1019,1008,-1,1020,1013,-1,-1,-1,-1]","[-1,-1,-1,1010,1020,-1,1012,1059,-1,-1,-1,-1]","[-1,-1,-1,1013,1020,-1,1030,1030,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
703,58,15,"[-1,-1,-1,1030,-1,-1,-1,-1,1019,-1,-1,-1]","[-1,-1,-1,1017,1020,-1,-1,1030,1030,-1,-1,-1]","[-1,-1,-1,1007,1030,-1,-1,1001,1015,-1,-1,-1]","[-1,-1,-1,1020,-1,-1,-1,-1,1030,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
704,58,16,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1059,1012,-1,1007,1002,-1,-1,-1,-1]","[-1,-1,-1,1027,1036,-1,1010,1018,-1,-1,-1,-1]","[-1,-1,-1,1020,1032,-1,1029,1008,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
705,58,17,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1059,1012,1029,1017,1020,1019,-1,-1,-1]","[-1,-1,-1,1002,1030,-1,-1,1010,1010,-1,-1,-1]","[-1,-1,-1,1002,1002,1013,1012,1013,1019,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
706,58,18,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,1002,1002,1029,1042,1008,1029,1008,-1,-1,-1]","[-1,-1,1006,-1,1029,-1,1059,-1,1010,-1,-1,-1]","[-1,-1,1018,1059,1001,1030,1036,1002,1020,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
707,58,19,"[-1,-1,-1,-1,1027,1019,1027,1002,-1,-1,-1,-1]","[-1,-1,1027,1001,1015,1012,1006,1030,1017,1008,-1,-1]","[-1,-1,1007,1032,1013,1020,1017,1015,1002,1002,-1,-1]","[-1,-1,1036,-1,1020,1042,1002,1007,-1,1007,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
708,58,20,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1017,-1,1010,-1,1017,-1,-1,-1,-1]","[-1,1010,1010,1030,1015,-1,1013,1010,1015,1032,-1,-1]","[-1,1030,1059,1017,1006,1059,1013,1002,1002,1059,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
709,58,21,"[-1,-1,-1,-1,-1,1020,1020,-1,-1,-1,-1,-1]","[-1,-1,-1,1036,-1,1032,1002,-1,1042,-1,-1,-1]","[-1,1027,-1,1006,-1,1029,1059,-1,1002,-1,1001,-1]","[-1,1020,1010,1020,1013,1027,1002,1009,1008,1010,1002,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
710,58,22,"[-1,-1,-1,-1,1017,1010,1020,-1,-1,-1,-1,-1]","[1002,1013,1002,1008,1009,-1,1017,1002,1012,1019,1006,-1]","[1030,-1,1059,-1,1015,-1,1059,-1,1015,-1,1017,-1]","[1036,-1,1008,-1,1001,-1,1020,-1,1001,-1,1042,-1]","[1036,1018,1009,1020,1019,1036,1020,1008,1032,1001,1042,-1]",
